USDOT Number,MCS-150 Form Date,MCS-150 Mileage (Year),Operating Authority Status,Power Units,Phone,Mailing Address,Physical Address,Prefix,Docket Number,Legal Name,DBA Name,City,State
1128010,08/23/2023,"60,000 (2021)","AUTHORIZED FOR Property, HHGFor Licensing and Insurance detailsclick here.",7,(908) 991-0001,"106 ALLEN ROADLIBERTY CORNER, NJ   07938","106 ALLEN ROADLIBERTY CORNER, NJ   07938",MC,459929,COLUMBIA INTERMODAL LLC,,LIBERTY CORNER,NJ
4098535,08/08/2023,"1,000 (2022)",NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,1,(646) 488-8536,"110 WASHINGTON ST 8GEAST ORANGE , NJ   07017","110 WASHINGTON ST 8GEAST ORANGE , NJ   07017",MC,1572948,HERE2THERE LOGISTICAL TRANSPORT LLC,,EAST ORANGE,NJ
2891880,03/08/2024,"106,619 (2023)",AUTHORIZED FOR PropertyFor Licensing and Insurance detailsclick here.,1,(248) 200-6071,"25 EAGLE ROCK VLG APT 4ABUDD LAKE, NJ   07828-3325","25 EAGLE ROCK VLG APT 4ABUDD LAKE, NJ   07828-3325",MC,972556,LHT LLC,,BUDD LAKE,NJ
3597092,04/27/2024,"100,000 (2022)",NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,1,(412) 729-2260,"2225 SYCAMORE ST #5019 HARRISBHARRISBURG, PA   17111","20 BERKELEY PLCRANFORD, NJ   07016",MC,1254552,SB INTERSATE LLC,,CRANFORD,NJ
4193136,04/08/2024,1 (2023),AUTHORIZED FOR PropertyFor Licensing and Insurance detailsclick here.,1,(201) 898-4782,"57 W STRATFORD PL FL 2IRVINGTON , NJ   07111-3204","57 W STRATFORD PL FL 2IRVINGTON , NJ   07111-3204",MC,1632876,STEVEN TRANSPORT SERVICES LLC,,IRVINGTON,NJ
4126531,05/14/2024,1 (2023),AUTHORIZED FOR PropertyFor Licensing and Insurance detailsclick here.,1,(862) 944-9025,"23 MERION LNWILLINGBORO, NJ   08046","23 MERION LNWILLINGBORO, NJ   08046",MC,1633454,THECH LOGISTICS LLC,THECH LOGISTICS,WILLINGBORO,NJ
4199871,03/20/2024,1 (2023),AUTHORIZED FOR PropertyFor Licensing and Insurance detailsclick here.,1,(908) 220-8338,"132 GARDEN ST BMOUNT HOLLY, NJ   08060","132 GARDEN ST BMOUNT HOLLY, NJ   08060",MC,1632405,TRIPLE C TRUCKING LLC,,MOUNT HOLLY,NJ
4091974,10/19/2023,"10,000 (2022)",NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,1,(646) 438-5207,"352 BROAD AVERIDGEFIELD, NJ   07657","352 BROAD AVERIDGEFIELD, NJ   07657",MC,1576634,0202 TRANSPORTATION CORP,,RIDGEFIELD,NJ
3158523,12/31/2021,1 (2021),NOT AUTHORIZEDFor Licensing and Insurance detailsclick here.,1,(609) 371-0728,"42 ENDEAVOR BLVDHIGHTSTOWN, NJ   08520","42 ENDEAVOR BLVDHIGHTSTOWN, NJ   08520",MC,109503,,,,
3344773,05/02/2023,"40,000 (2022)",AUTHORIZED FOR PropertyFor Licensing and Insurance detailsclick here.,1,(630) 473-7089,"601 W 7TH ST APT 11APLAINFIELD, NJ   07060","601 W 7TH ST APT 11APLAINFIELD, NJ   07060",MC,1068219,1 FREEDOM TRUCKING LLC,,PLAINFIELD,NJ
3983044,10/18/2023,,AUTHORIZED FOR PropertyFor Licensing and Insurance detailsclick here.,0,(732) 582-9719,"1610 CRESCENT CTN BRUNSWICK, NJ   08902-6815","1610 CRESCENT CTN BRUNSWICK, NJ   08902-6815",MC,1511620,1 OAK TRANSPORT,,N BRUNSWICK,NJ
3250237,09/09/2023,"162,229 (2022)",NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,1,(856) 534-5196,"167 ECHELON ROAD UNIT 2VOORHEES, NJ   08043-2643","167 ECHELON ROAD UNIT 2VOORHEES, NJ   08043",MC,,,,,
3945100,09/12/2022,,NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,0,(973) 955-5838,"109 TERHUNE AVEPASSAIC, NJ   07055","109 TERHUNE AVEPASSAIC, NJ   07055",MC,1466362,1 WAY LOGISTICS LLC,,PASSAIC,NJ
2349080,08/31/2022,"18,000 (2014)",NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,3,(201) 443-2186,"65 NEW HOOK RD 1ST FLBAYONNE, NJ   07002","65 NEW HOOK RD 1ST FLBAYONNE, NJ   07002",MC,804026,,,,
4024556,02/26/2024,"35,501 (2022)","AUTHORIZED FOR Property, HHGFor Licensing and Insurance detailsclick here.",1,(201) 736-5135,"329 PERSHING RD APT CCLIFTON, NJ   07012","329 PERSHING RD APT CCLIFTON, NJ   07012",MC,1518889,101 MOVERS CORP,,CLIFTON,NJ
4035015,09/20/2023,"268,800 (2023)",AUTHORIZED FOR PropertyFor Licensing and Insurance detailsclick here.,10,(862) 400-9896,"213 FULTON STTRENTON, NJ   08611","213 FULTON STTRENTON, NJ   08611",MC,1525472,101 TRUCKING CORPORATION,,TRENTON,
4209986,03/14/2024,,NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,1,(856) 504-4619,"8 ASBERRY PLSICKLERVILLE, NJ   08081-1720","8 ASBERRY PLSICKLERVILLE, NJ   08081",MC,1625563,12TH HOUSE LOGISTICS LLC,,SICKLERVILLE,NJ
4224125,04/11/2024,,AUTHORIZED FOR PropertyFor Licensing and Insurance detailsclick here.,1,(347) 479-9082,"2115 ALDRIN RD APT 4BOCEAN, NJ   07712-2461","2115 ALDRIN RD APT 4BOCEAN, NJ   07712",MC,,,,,
2943178,11/02/2016,,NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,0,(609) 578-8926,"100 MATAWAN RD STE 140MATAWAN, NJ   07747-3913","100 MATAWAN RD STE 140MATAWAN, NJ   07747",MC,995741,15 LOGISTICS LLC,,MATAWAN,NJ
3851189,03/27/2022,,NOT AUTHORIZED*Please Note:NOT AUTHORIZEDdoes not applytoPrivateorIntrastateoperations.For Licensing and Insurance detailsclick here.,2,(551) 200-8133,"163 STUYVESANT RDTEANECK, NJ   07666-6327","163 STUYVESANT RDTEANECK, NJ   07666",MC,,,,,
4004403,04/10/2023,,OUT-OF-SERVICEFor Licensing and Insurance detailsclick here.,1,(908) 937-2343,"200 MARTIN STROSELLE, NJ   07203-1828","200 MARTIN STROSELLE, NJ   07203",MC,1505924,1804 TRUCKING LLC,,ROSELLE,NJ
